year_half_created_at,store_name,tpv
2024-H1,G Coffee @ Damansara Saujana,33083208.00
2024-H1,G Coffee @ Damansara Saujana,35150908.50
2024-H1,G Coffee @ Damansara Saujana,37218609.00
2024-H1,G Coffee @ Kampung Changkat,2066550.00
2024-H1,G Coffee @ Kampung Changkat,4133100.00
2024-H1,G Coffee @ Kampung Changkat,6199650.00
2024-H1,G Coffee @ Kampung Changkat,8266200.00
2024-H1,G Coffee @ Kampung Changkat,10332750.00
2024-H1,G Coffee @ Kampung Changkat,12399300.00
2024-H1,G Coffee @ Kampung Changkat,14465850.00
2024-H1,G Coffee @ Kampung Changkat,16532400.00
2024-H1,G Coffee @ Kampung Changkat,18598950.00
2024-H1,G Coffee @ Kampung Changkat,20665500.00
2024-H1,G Coffee @ Kampung Changkat,22732050.00
2024-H1,G Coffee @ Kampung Changkat,24798600.00
2024-H1,G Coffee @ Kampung Changkat,26865150.00
2024-H1,G Coffee @ Kampung Changkat,28931700.00
2024-H1,G Coffee @ Kampung Changkat,30998250.00
2024-H1,G Coffee @ Kampung Changkat,33064800.00
2024-H1,G Coffee @ Kampung Changkat,35131350.00
2024-H1,G Coffee @ Kampung Changkat,37197900.00
2024-H1,G Coffee @ Kondominium Putra,2053099.00
2024-H1,G Coffee @ Kondominium Putra,4106198.00
2024-H1,G Coffee @ Kondominium Putra,6159297.00
2024-H1,G Coffee @ Kondominium Putra,8212396.00
2024-H1,G Coffee @ Kondominium Putra,10265495.00
2024-H1,G Coffee @ Kondominium Putra,12318594.00
2024-H1,G Coffee @ Kondominium Putra,14371693.00
2024-H1,G Coffee @ Kondominium Putra,16424792.00
2024-H1,G Coffee @ Kondominium Putra,18477891.00
2024-H1,G Coffee @ Kondominium Putra,20530990.00
2024-H1,G Coffee @ Kondominium Putra,22584089.00
2024-H1,G Coffee @ Kondominium Putra,24637188.00
2024-H1,G Coffee @ Kondominium Putra,26690287.00
2024-H1,G Coffee @ Kondominium Putra,28743386.00
2024-H1,G Coffee @ Kondominium Putra,30796485.00
2024-H1,G Coffee @ Kondominium Putra,32849584.00
2024-H1,G Coffee @ Kondominium Putra,34902683.00
2024-H1,G Coffee @ Kondominium Putra,36955782.00
2024-H1,G Coffee @ PJS8,2062318.00
2024-H1,G Coffee @ PJS8,4124636.00
2024-H1,G Coffee @ PJS8,6186954.00
2024-H1,G Coffee @ PJS8,8249272.00
2024-H1,G Coffee @ PJS8,10311590.00
2024-H1,G Coffee @ PJS8,12373908.00
2024-H1,G Coffee @ PJS8,14436226.00
2024-H1,G Coffee @ PJS8,16498544.00
2024-H1,G Coffee @ PJS8,18560862.00
2024-H1,G Coffee @ PJS8,20623180.00
2024-H1,G Coffee @ PJS8,22685498.00
2024-H1,G Coffee @ PJS8,24747816.00
2024-H1,G Coffee @ PJS8,26810134.00
2024-H1,G Coffee @ PJS8,28872452.00
2024-H1,G Coffee @ PJS8,30934770.00
2024-H1,G Coffee @ PJS8,32997088.00
2024-H1,G Coffee @ PJS8,35059406.00
2024-H1,G Coffee @ PJS8,37121724.00
2024-H1,G Coffee @ Seksyen 21,2061336.50
2024-H1,G Coffee @ Seksyen 21,4122673.00
2024-H1,G Coffee @ Seksyen 21,6184009.50
2024-H1,G Coffee @ Seksyen 21,8245346.00
2024-H1,G Coffee @ Seksyen 21,10306682.50
2024-H1,G Coffee @ Seksyen 21,12368019.00
2024-H1,G Coffee @ Seksyen 21,14429355.50
2024-H1,G Coffee @ Seksyen 21,16490692.00
2024-H1,G Coffee @ Seksyen 21,18552028.50
2024-H1,G Coffee @ Seksyen 21,20613365.00
2024-H1,G Coffee @ Seksyen 21,22674701.50
2024-H1,G Coffee @ Seksyen 21,24736038.00
2024-H1,G Coffee @ Seksyen 21,26797374.50
2024-H1,G Coffee @ Seksyen 21,28858711.00
2024-H1,G Coffee @ Seksyen 21,30920047.50
2024-H1,G Coffee @ Seksyen 21,32981384.00
2024-H1,G Coffee @ Seksyen 21,35042720.50
2024-H1,G Coffee @ Seksyen 21,37104057.00
2024-H1,G Coffee @ Taman Damansara,2077565.00
2024-H1,G Coffee @ Taman Damansara,4155130.00
2024-H1,G Coffee @ Taman Damansara,6232695.00
2024-H1,G Coffee @ Taman Damansara,8310260.00
2024-H1,G Coffee @ Taman Damansara,10387825.00
2024-H1,G Coffee @ Taman Damansara,12465390.00
2024-H1,G Coffee @ Taman Damansara,14542955.00
2024-H1,G Coffee @ Taman Damansara,16620520.00
2024-H1,G Coffee @ Taman Damansara,18698085.00
2024-H1,G Coffee @ Taman Damansara,20775650.00
2024-H1,G Coffee @ Taman Damansara,22853215.00
2024-H1,G Coffee @ Taman Damansara,24930780.00
2024-H1,G Coffee @ Taman Damansara,27008345.00
2024-H1,G Coffee @ Taman Damansara,29085910.00
2024-H1,G Coffee @ Taman Damansara,31163475.00
2024-H1,G Coffee @ Taman Damansara,33241040.00
2024-H1,G Coffee @ Taman Damansara,35318605.00
2024-H1,G Coffee @ Taman Damansara,37396170.00
2024-H1,G Coffee @ USJ 57W,2055832.00
2024-H1,G Coffee @ USJ 57W,4111664.00
2024-H1,G Coffee @ USJ 57W,6167496.00
2024-H1,G Coffee @ USJ 57W,8223328.00
2024-H1,G Coffee @ USJ 57W,10279160.00
2024-H1,G Coffee @ USJ 57W,12334992.00
2024-H1,G Coffee @ USJ 57W,14390824.00
2024-H1,G Coffee @ USJ 57W,16446656.00
2024-H1,G Coffee @ USJ 57W,18502488.00
2024-H1,G Coffee @ USJ 57W,20558320.00
2024-H1,G Coffee @ USJ 57W,22614152.00
2024-H1,G Coffee @ USJ 57W,24669984.00
2024-H1,G Coffee @ USJ 57W,26725816.00
2024-H1,G Coffee @ USJ 57W,28781648.00
2024-H1,G Coffee @ USJ 57W,30837480.00
2024-H1,G Coffee @ USJ 57W,32893312.00
2024-H1,G Coffee @ USJ 57W,34949144.00
2024-H1,G Coffee @ USJ 57W,37004976.00
2024-H1,G Coffee @ USJ 89q,2058314.00
2024-H1,G Coffee @ USJ 89q,4116628.00
2024-H1,G Coffee @ USJ 89q,6174942.00
2024-H1,G Coffee @ USJ 89q,8233256.00
2024-H1,G Coffee @ USJ 89q,10291570.00
2024-H1,G Coffee @ USJ 89q,12349884.00
2024-H1,G Coffee @ USJ 89q,14408198.00
2024-H1,G Coffee @ USJ 89q,16466512.00
2024-H1,G Coffee @ USJ 89q,18524826.00
2024-H1,G Coffee @ USJ 89q,20583140.00
2024-H1,G Coffee @ USJ 89q,22641454.00
2024-H1,G Coffee @ USJ 89q,24699768.00
2024-H1,G Coffee @ USJ 89q,26758082.00
2024-H1,G Coffee @ USJ 89q,28816396.00
2024-H1,G Coffee @ USJ 89q,30874710.00
2024-H1,G Coffee @ USJ 89q,32933024.00
2024-H1,G Coffee @ USJ 89q,34991338.00
2024-H1,G Coffee @ USJ 89q,37049652.00
2025-H1,G Coffee @ Alam Tun Hussein Onn,2070212.50
2025-H1,G Coffee @ Alam Tun Hussein Onn,4140425.00
2025-H1,G Coffee @ Alam Tun Hussein Onn,6210637.50
2025-H1,G Coffee @ Alam Tun Hussein Onn,8280850.00
2025-H1,G Coffee @ Alam Tun Hussein Onn,10351062.50
2025-H1,G Coffee @ Alam Tun Hussein Onn,12421275.00
2025-H1,G Coffee @ Alam Tun Hussein Onn,14491487.50
2025-H1,G Coffee @ Alam Tun Hussein Onn,16561700.00
2025-H1,G Coffee @ Alam Tun Hussein Onn,18631912.50
2025-H1,G Coffee @ Alam Tun Hussein Onn,20702125.00
2025-H1,G Coffee @ Alam Tun Hussein Onn,22772337.50
2025-H1,G Coffee @ Alam Tun Hussein Onn,24842550.00
2025-H1,G Coffee @ Alam Tun Hussein Onn,26912762.50
2025-H1,G Coffee @ Alam Tun Hussein Onn,28982975.00
2025-H1,G Coffee @ Alam Tun Hussein Onn,31053187.50
2025-H1,G Coffee @ Alam Tun Hussein Onn,33123400.00
2025-H1,G Coffee @ Alam Tun Hussein Onn,35193612.50
2025-H1,G Coffee @ Alam Tun Hussein Onn,37263825.00
2025-H1,G Coffee @ Bandar Seri Mulia,2065887.50
2025-H1,G Coffee @ Bandar Seri Mulia,4131775.00
2025-H1,G Coffee @ Bandar Seri Mulia,6197662.50
2025-H1,G Coffee @ Bandar Seri Mulia,8263550.00
2025-H1,G Coffee @ Bandar Seri Mulia,10329437.50
2025-H1,G Coffee @ Bandar Seri Mulia,12395325.00
2025-H1,G Coffee @ Bandar Seri Mulia,14461212.50
2025-H1,G Coffee @ Bandar Seri Mulia,16527100.00
2025-H1,G Coffee @ Bandar Seri Mulia,18592987.50
2025-H1,G Coffee @ Bandar Seri Mulia,20658875.00
2025-H1,G Coffee @ Bandar Seri Mulia,22724762.50
2025-H1,G Coffee @ Bandar Seri Mulia,24790650.00
2025-H1,G Coffee @ Bandar Seri Mulia,26856537.50
2025-H1,G Coffee @ Bandar Seri Mulia,28922425.00
2025-H1,G Coffee @ Bandar Seri Mulia,30988312.50
2025-H1,G Coffee @ Bandar Seri Mulia,33054200.00
2025-H1,G Coffee @ Bandar Seri Mulia,35120087.50
2025-H1,G Coffee @ Bandar Seri Mulia,37185975.00
2025-H1,G Coffee @ Damansara Saujana,2062330.50
2025-H1,G Coffee @ Damansara Saujana,4124661.00
2025-H1,G Coffee @ Damansara Saujana,6186991.50
2025-H1,G Coffee @ Damansara Saujana,8249322.00
2025-H1,G Coffee @ Damansara Saujana,10311652.50
2025-H1,G Coffee @ Damansara Saujana,12373983.00
2025-H1,G Coffee @ Damansara Saujana,14436313.50
2025-H1,G Coffee @ Damansara Saujana,16498644.00
2025-H1,G Coffee @ Damansara Saujana,18560974.50
2025-H1,G Coffee @ Damansara Saujana,20623305.00
2025-H1,G Coffee @ Damansara Saujana,22685635.50
2025-H1,G Coffee @ Damansara Saujana,24747966.00
2025-H1,G Coffee @ Damansara Saujana,26810296.50
2025-H1,G Coffee @ Damansara Saujana,28872627.00
2025-H1,G Coffee @ Damansara Saujana,30934957.50
2025-H1,G Coffee @ Damansara Saujana,32997288.00
2025-H1,G Coffee @ Damansara Saujana,35059618.50
2025-H1,G Coffee @ Damansara Saujana,37121949.00
2025-H1,G Coffee @ Kampung Changkat,2076358.50
2025-H1,G Coffee @ Kampung Changkat,4152717.00
2025-H1,G Coffee @ Kampung Changkat,6229075.50
2025-H1,G Coffee @ Kampung Changkat,8305434.00
2025-H1,G Coffee @ Kampung Changkat,10381792.50
2025-H1,G Coffee @ Kampung Changkat,12458151.00
2025-H1,G Coffee @ Kampung Changkat,14534509.50
2025-H1,G Coffee @ Kampung Changkat,16610868.00
2025-H1,G Coffee @ Kampung Changkat,18687226.50
2025-H1,G Coffee @ Kampung Changkat,20763585.00
2025-H1,G Coffee @ Kampung Changkat,22839943.50
2025-H1,G Coffee @ Kampung Changkat,24916302.00
2025-H1,G Coffee @ Kampung Changkat,26992660.50
2025-H1,G Coffee @ Kampung Changkat,29069019.00
2025-H1,G Coffee @ Kampung Changkat,31145377.50
2025-H1,G Coffee @ Kampung Changkat,33221736.00
2025-H1,G Coffee @ Kampung Changkat,35298094.50
2025-H1,G Coffee @ Kampung Changkat,37374453.00
2025-H1,G Coffee @ Kondominium Putra,2073276.00
2025-H1,G Coffee @ Kondominium Putra,4146552.00
2025-H1,G Coffee @ Kondominium Putra,6219828.00
2025-H1,G Coffee @ Kondominium Putra,8293104.00
2025-H1,G Coffee @ Kondominium Putra,10366380.00
2025-H1,G Coffee @ Kondominium Putra,12439656.00
2025-H1,G Coffee @ Kondominium Putra,14512932.00
2025-H1,G Coffee @ Kondominium Putra,16586208.00
2025-H1,G Coffee @ Kondominium Putra,18659484.00
2025-H1,G Coffee @ Kondominium Putra,20732760.00
2025-H1,G Coffee @ Kondominium Putra,22806036.00
2025-H1,G Coffee @ Kondominium Putra,24879312.00
2025-H1,G Coffee @ Kondominium Putra,26952588.00
2025-H1,G Coffee @ Kondominium Putra,29025864.00
2025-H1,G Coffee @ Kondominium Putra,31099140.00
2025-H1,G Coffee @ Kondominium Putra,33172416.00
2025-H1,G Coffee @ Kondominium Putra,35245692.00
2025-H1,G Coffee @ Kondominium Putra,37318968.00
2025-H1,G Coffee @ PJS8,2053659.00
2025-H1,G Coffee @ PJS8,4107318.00
2025-H1,G Coffee @ PJS8,6160977.00
2025-H1,G Coffee @ PJS8,8214636.00
2025-H1,G Coffee @ PJS8,10268295.00
2025-H1,G Coffee @ PJS8,12321954.00
2025-H1,G Coffee @ PJS8,14375613.00
2025-H1,G Coffee @ PJS8,16429272.00
2025-H1,G Coffee @ PJS8,18482931.00
2025-H1,G Coffee @ PJS8,20536590.00
2025-H1,G Coffee @ PJS8,22590249.00
2025-H1,G Coffee @ PJS8,24643908.00
2025-H1,G Coffee @ PJS8,26697567.00
2025-H1,G Coffee @ PJS8,28751226.00
2025-H1,G Coffee @ PJS8,30804885.00
2025-H1,G Coffee @ PJS8,32858544.00
2025-H1,G Coffee @ PJS8,34912203.00
2025-H1,G Coffee @ PJS8,36965862.00
2025-H1,G Coffee @ Seksyen 21,2055899.00
2025-H1,G Coffee @ Seksyen 21,4111798.00
2025-H1,G Coffee @ Seksyen 21,6167697.00
2025-H1,G Coffee @ Seksyen 21,8223596.00
2025-H1,G Coffee @ Seksyen 21,10279495.00
2025-H1,G Coffee @ Seksyen 21,12335394.00
2025-H1,G Coffee @ Seksyen 21,14391293.00
2025-H1,G Coffee @ Seksyen 21,16447192.00
2025-H1,G Coffee @ Seksyen 21,18503091.00
2025-H1,G Coffee @ Seksyen 21,20558990.00
2025-H1,G Coffee @ Seksyen 21,22614889.00
2025-H1,G Coffee @ Seksyen 21,24670788.00
2025-H1,G Coffee @ Seksyen 21,26726687.00
2025-H1,G Coffee @ Seksyen 21,28782586.00
2025-H1,G Coffee @ Seksyen 21,30838485.00
2025-H1,G Coffee @ Seksyen 21,32894384.00
2025-H1,G Coffee @ Seksyen 21,34950283.00
2025-H1,G Coffee @ Seksyen 21,37006182.00
2025-H1,G Coffee @ Taman Damansara,2071656.00
2025-H1,G Coffee @ Taman Damansara,4143312.00
2025-H1,G Coffee @ Taman Damansara,6214968.00
2025-H1,G Coffee @ Taman Damansara,8286624.00
2025-H1,G Coffee @ Taman Damansara,10358280.00
2025-H1,G Coffee @ Taman Damansara,12429936.00
2025-H1,G Coffee @ Taman Damansara,14501592.00
2025-H1,G Coffee @ Taman Damansara,16573248.00
2025-H1,G Coffee @ Taman Damansara,18644904.00
2025-H1,G Coffee @ Taman Damansara,20716560.00
2025-H1,G Coffee @ Taman Damansara,22788216.00
2025-H1,G Coffee @ Taman Damansara,24859872.00
2025-H1,G Coffee @ Taman Damansara,26931528.00
2025-H1,G Coffee @ Taman Damansara,29003184.00
2025-H1,G Coffee @ Taman Damansara,31074840.00
2025-H1,G Coffee @ Taman Damansara,33146496.00
2025-H1,G Coffee @ Taman Damansara,35218152.00
2025-H1,G Coffee @ Taman Damansara,37289808.00
2025-H1,G Coffee @ USJ 57W,2068555.00
2025-H1,G Coffee @ USJ 57W,4137110.00
2025-H1,G Coffee @ USJ 57W,6205665.00
2025-H1,G Coffee @ USJ 57W,8274220.00
2025-H1,G Coffee @ USJ 57W,10342775.00
2025-H1,G Coffee @ USJ 57W,12411330.00
2025-H1,G Coffee @ USJ 57W,14479885.00
2025-H1,G Coffee @ USJ 57W,16548440.00
2025-H1,G Coffee @ USJ 57W,18616995.00
2025-H1,G Coffee @ USJ 57W,20685550.00
2025-H1,G Coffee @ USJ 57W,22754105.00
2025-H1,G Coffee @ USJ 57W,24822660.00
2025-H1,G Coffee @ USJ 57W,26891215.00
2025-H1,G Coffee @ USJ 57W,28959770.00
2025-H1,G Coffee @ USJ 57W,31028325.00
2025-H1,G Coffee @ USJ 57W,33096880.00
2025-H1,G Coffee @ USJ 57W,35165435.00
2025-H1,G Coffee @ USJ 57W,37233990.00
2025-H1,G Coffee @ USJ 89q,2049219.00
2025-H1,G Coffee @ USJ 89q,4098438.00
2025-H1,G Coffee @ USJ 89q,6147657.00
2025-H1,G Coffee @ USJ 89q,8196876.00
2025-H1,G Coffee @ USJ 89q,10246095.00
2025-H1,G Coffee @ USJ 89q,12295314.00
2025-H1,G Coffee @ USJ 89q,14344533.00
2025-H1,G Coffee @ USJ 89q,16393752.00
2025-H1,G Coffee @ USJ 89q,18442971.00
2025-H1,G Coffee @ USJ 89q,20492190.00
2025-H1,G Coffee @ USJ 89q,22541409.00
2025-H1,G Coffee @ USJ 89q,24590628.00
2025-H1,G Coffee @ USJ 89q,26639847.00
2025-H1,G Coffee @ USJ 89q,28689066.00
2025-H1,G Coffee @ USJ 89q,30738285.00
2025-H1,G Coffee @ USJ 89q,32787504.00
2025-H1,G Coffee @ USJ 89q,34836723.00
2025-H1,G Coffee @ USJ 89q,36885942.00
